Linear Accel X = 146, Y = 169, Z = -61, qw = 10417, qx = 707, qy = -1868, qz = -12487
Linear Accel X = 127, Y = 182, Z = -47, qw = 10330, qx = 637, qy = -1849, qz = -12566
Linear Accel X = 90, Y = 189, Z = -87, qw = 10213, qx = 562, qy = -1809, qz = -12670
Linear Accel X = 36, Y = 206, Z = -110, qw = 10149, qx = 477, qy = -1777, qz = -12730
Linear Accel X = -8, Y = 241, Z = -62, qw = 10099, qx = 374, qy = -1731, qz = -12779
Linear Accel X = -17, Y = 236, Z = 8, qw = 10070, qx = 307, qy = -1678, qz = -12811
Linear Accel X = -4, Y = 240, Z = -19, qw = 10091, qx = 285, qy = -1590, qz = -12806
Linear Accel X = 141, Y = 193, Z = -78, qw = 10124, qx = 255, qy = -1540, qz = -12787
Linear Accel X = 13, Y = 187, Z = -124, qw = 10153, qx = 214, qy = -1486, qz = -12771
Linear Accel X = 8, Y = 218, Z = -104, qw = 10208, qx = 182, qy = -1400, qz = -12737
Linear Accel X = 29, Y = 209, Z = -54, qw = 10306, qx = 182, qy = -1259, qz = -12673
Linear Accel X = 178, Y = 224, Z = -73, qw = 10386, qx = 191, qy = -1178, qz = -12616
Linear Accel X = 243, Y = 178, Z = -123, qw = 10465, qx = 159, qy = -1124, qz = -12555
Linear Accel X = 213, Y = 151, Z = -166, qw = 10549, qx = 39, qy = -1057, qz = -12491
Linear Accel X = 129, Y = 161, Z = -118, qw = 10591, qx = -72, qy = -950, qz = -12464
Linear Accel X = 205, Y = 250, Z = -1, qw = 10633, qx = -171, qy = -800, qz = -12438
Linear Accel X = 312, Y = 263, Z = 25, qw = 10659, qx = -243, qy = -676, qz = -12422
Linear Accel X = 201, Y = 239, Z = 8, qw = 10662, qx = -386, qy = -616, qz = -12419
Linear Accel X = 176, Y = 230, Z = -1, qw = 10659, qx = -478, qy = -604, qz = -12419
Linear Accel X = 249, Y = 240, Z = 0, qw = 10655, qx = -527, qy = -562, qz = -12423
Linear Accel X = 272, Y = 224, Z = 0, qw = 10643, qx = -551, qy = -525, qz = -12433
Linear Accel X = 301, Y = 207, Z = 4, qw = 10565, qx = -561, qy = -513, qz = -12500
Linear Accel X = 194, Y = 219, Z = 4, qw = 10516, qx = -553, qy = -526, qz = -12541
Linear Accel X = 215, Y = 220, Z = 25, qw = 10484, qx = -545, qy = -545, qz = -12567
Linear Accel X = 302, Y = 175, Z = -7, qw = 10456, qx = -527, qy = -603, qz = -12589
Linear Accel X = 272, Y = 138, Z = -39, qw = 10426, qx = -514, qy = -653, qz = -12612
Linear Accel X = 266, Y = 141, Z = -61, qw = 10395, qx = -503, qy = -693, qz = -12636
Linear Accel X = 220, Y = 157, Z = -40, qw = 10367, qx = -503, qy = -720, qz = -12657
Linear Accel X = 213, Y = 157, Z = -53, qw = 10340, qx = -495, qy = -750, qz = -12678
Linear Accel X = 194, Y = 154, Z = -90, qw = 10321, qx = -491, qy = -769, qz = -12692
Linear Accel X = 172, Y = 176, Z = -68, qw = 10299, qx = -485, qy = -778, qz = -12710
Linear Accel X = 146, Y = 174, Z = -67, qw = 10279, qx = -478, qy = -775, qz = -12726
Linear Accel X = 177, Y = 181, Z = -20, qw = 10261, qx = -467, qy = -757, qz = -12742
Linear Accel X = 213, Y = 160, Z = -77, qw = 10252, qx = -433, qy = -734, qz = -12752
Linear Accel X = 163, Y = 149, Z = -92, qw = 10221, qx = -404, qy = -710, qz = -12779
Linear Accel X = 22, Y = 136, Z = 32687, qw = 10224, qx = -341, qy = -625, qz = -12783
Linear Accel X = 157, Y = 160, Z = -60, qw = 10260, qx = -304, qy = -539, qz = -12758
Linear Accel X = 198, Y = 170, Z = -39, qw = 10312, qx = -285, qy = -456, qz = -12721
Linear Accel X = 85, Y = 130, Z = 2, qw = 10359, qx = -271, qy = -383, qz = -12685
Linear Accel X = 61, Y = 190, Z = -49, qw = 10488, qx = -215, qy = -247, qz = -12583
Linear Accel X = 47, Y = 180, Z = -43, qw = 10620, qx = -176, qy = -152, qz = -12474
Linear Accel X = 208, Y = 167, Z = -7, qw = 10745, qx = -169, qy = -72, qz = -12367
Linear Accel X = 196, Y = 151, Z = -32, qw = 10876, qx = -172, qy = -14, qz = -12252
Linear Accel X = 111, Y = 158, Z = -17, qw = 11032, qx = -177, qy = 58, qz = -12112
Linear Accel X = 60, Y = 174, Z = 12, qw = 11160, qx = -186, qy = 104, qz = -11993
Linear Accel X = 81, Y = 158, Z = 30, qw = 11284, qx = -200, qy = 152, qz = -11876
Linear Accel X = 168, Y = 133, Z = 27, qw = 11538, qx = -199, qy = 205, qz = -11628
Linear Accel X = 219, Y = 116, Z = 12, qw = 11693, qx = -183, qy = 239, qz = -11472
Linear Accel X = 185, Y = 116, Z = 9, qw = 11824, qx = -165, qy = 266, qz = -11337
Linear Accel X = 225, Y = 172, Z = 3, qw = 11953, qx = -147, qy = 286, qz = -11201
Linear Accel X = 255, Y = 166, Z = -4, qw = 12129, qx = -109, qy = 293, qz = -11011
Linear Accel X = 307, Y = 124, Z = -49, qw = 12222, qx = -78, qy = 296, qz = -10907
Linear Accel X = 227, Y = 168, Z = -38, qw = 12310, qx = -71, qy = 316, qz = -10807
Linear Accel X = 228, Y = 217, Z = 7, qw = -20360, qx = -84, qy = 339, qz = -10694
Linear Accel X = 258, Y = 201, Z = -2, qw = 12553, qx = -100, qy = 331, qz = -10524
Linear Accel X = 273, Y = 141, Z = 69, qw = 12652, qx = -114, qy = 291, qz = -10405
Linear Accel X = 318, Y = 141, Z = 80, qw = 12760, qx = -117, qy = 277, qz = -10273
Linear Accel X = 356, Y = 176, Z = 52, qw = 12920, qx = -79, qy = 305, qz = -10070
Linear Accel X = 375, Y = 114, Z = 14, qw = 13002, qx = -24, qy = 296, qz = -9964
Linear Accel X = 338, Y = 55, Z = -11, qw = 13069, qx = 13, qy = 290, qz = -9877
Linear Accel X = 372, Y = 21, Z = -21, qw = 13149, qx = -23, qy = 296, qz = -9770
Linear Accel X = 443, Y = 73, Z = 80, qw = 13269, qx = -184, qy = 320, qz = -9604
Linear Accel X = 438, Y = 65, Z = 9, qw = 13322, qx = -274, qy = 330, qz = -9528
Linear Accel X = 309, Y = 115, Z = -24, qw = 13352, qx = -348, qy = 341, qz = -9483
Linear Accel X = 350, Y = -41, Z = -102, qw = 13356, qx = -395, qy = 335, qz = -9475
Linear Accel X = 343, Y = 94, Z = 424, qw = 13380, qx = -471, qy = 333, qz = -9438
Linear Accel X = 436, Y = 17, Z = -113, qw = 13385, qx = -432, qy = 397, qz = -9430
Linear Accel X = 219, Y = 48, Z = 27, qw = 13377, qx = -443, qy = 420, qz = -9440
Linear Accel X = 393, Y = 193, Z = 85, qw = 13435, qx = -455, qy = 430, qz = -9357
Linear Accel X = 373, Y = -46, Z = -16, qw = 13458, qx = -421, qy = 365, qz = -9328
Linear Accel X = 382, Y = -31, Z = -26, qw = 13474, qx = -396, qy = 331, qz = -9307
Linear Accel X = 358, Y = 53, Z = 35, qw = 13477, qx = -392, qy = 304, qz = -9303
Linear Accel X = 366, Y = 7, Z = 16, qw = 13467, qx = -347, qy = 233, qz = -9323
Linear Accel X = 330, Y = -38, Z = -4, qw = 13446, qx = -286, qy = 172, qz = -9356
Linear Accel X = 302, Y = 3, Z = -26, qw = 13418, qx = -211, qy = 120, qz = -9398
Linear Accel X = 270, Y = 0, Z = 38, qw = 13375, qx = -75, qy = 57, qz = -9463
Linear Accel X = 351, Y = -1, Z = 28, qw = 13354, qx = 45, qy = 25, qz = -9493
Linear Accel X = 369, Y = -32, Z = -49, qw = 13319, qx = 163, qy = -8, qz = -9541
Linear Accel X = 281, Y = 9, Z = 122, qw = 13235, qx = 272, qy = -70, qz = -9654
Linear Accel X = 245, Y = 12, Z = 167, qw = 13171, qx = 356, qy = -126, qz = -9737
Linear Accel X = 299, Y = -57, Z = 48, qw = 13105, qx = 486, qy = -157, qz = -9819
Linear Accel X = 282, Y = -82, Z = 79, qw = 13004, qx = 712, qy = -161, qz = -9940
Linear Accel X = 318, Y = -141, Z = -43, qw = 12928, qx = 867, qy = -158, qz = -10026
Linear Accel X = 337, Y = -118, Z = -21, qw = 12845, qx = 995, qy = -161, qz = -10121
Linear Accel X = 314, Y = -168, Z = -59, qw = 12748, qx = 1108, qy = -163, qz = -10231
Linear Accel X = 270, Y = -195, Z = 0, qw = 12583, qx = 1242, qy = -165, qz = -10417
Linear Accel X = 339, Y = -118, Z = 59, qw = 12476, qx = 1336, qy = -156, qz = -10534
Linear Accel X = 272, Y = -156, Z = 17, qw = 12356, qx = 1441, qy = -173, qz = -10661
Linear Accel X = 257, Y = -197, Z = 32678, qw = 12222, qx = 1530, qy = -201, qz = -10802
Linear Accel X = 196, Y = -137, Z = -77, qw = 12012, qx = 1565, qy = -240, qz = -11029
Linear Accel X = 176, Y = -102, Z = -27, qw = 11864, qx = 1558, qy = -263, qz = -11189
Linear Accel X = 157, Y = -79, Z = 98, qw = 11715, qx = 1521, qy = -304, qz = -11348
Linear Accel X = 190, Y = -62, Z = -9, qw = 11515, qx = 1463, qy = -358, qz = -11557
Linear Accel X = 192, Y = -69, Z = 28, qw = 11390, qx = 1383, qy = -404, qz = -11689
Linear Accel X = 160, Y = 8, Z = 67, qw = 11259, qx = 1294, qy = -444, qz = -11824
Linear Accel X = 98, Y = 43, Z = 112, qw = 11117, qx = 1210, qy = -483, qz = -11964
Linear Accel X = 129, Y = 7, Z = 52, qw = 10890, qx = 1173, qy = -547, qz = -12173
Linear Accel X = 103, Y = -24, Z = -55, qw = 10741, qx = 1165, qy = -568, qz = -12304
Linear Accel X = 55, Y = -4, Z = -48, qw = 10608, qx = 1131, qy = -548, qz = -12423
Linear Accel X = -1, Y = 101, Z = 40, qw = 10510, qx = 1089, qy = -495, qz = -12512
Linear Accel X = 83, Y = 82, Z = -42, qw = 10396, qx = 1084, qy = -423, qz = -12610
Linear Accel X = 97, Y = 61, Z = -143, qw = 10325, qx = 1105, qy = -385, qz = -12668
Linear Accel X = 3, Y = 115, Z = -118, qw = 10258, qx = 1083, qy = -342, qz = -12724
Linear Accel X = -187, Y = 167, Z = -140, qw = 10203, qx = 1047, qy = -251, qz = -12774
Linear Accel X = -49, Y = 163, Z = -213, qw = 10226, qx = 1035, qy = -141, qz = -12758
Linear Accel X = 76, Y = 115, Z = -140, qw = 10271, qx = 1000, qy = 14, qz = -12726
Linear Accel X = -34, Y = 296, Z = -90, qw = 10305, qx = 973, qy = 205, qz = -12699
Linear Accel X = -116, Y = 369, Z = -100, qw = 10358, qx = 938, qy = 432, qz = -12652
Linear Accel X = 9, Y = 352, Z = -60, qw = 10435, qx = 916, qy = 507, qz = -12587
Linear Accel X = 26, Y = 251, Z = 0, qw = 10529, qx = 896, qy = 577, qz = -12508
Linear Accel X = 47, Y = 284, Z = 45, qw = 10624, qx = 864, qy = 642, qz = -12426
Linear Accel X = 24, Y = 336, Z = 98, qw = 10754, qx = 831, qy = 703, qz = -12313
Linear Accel X = 95, Y = 266, Z = 68, qw = 10854, qx = 874, qy = 721, qz = -12221
Linear Accel X = 254, Y = 239, Z = -36, qw = 10965, qx = 975, qy = 747, qz = -12111
Linear Accel X = 191, Y = 272, Z = -93, qw = 11108, qx = 1125, qy = 795, qz = -11964
Linear Accel X = 174, Y = 255, Z = -160, qw = 11197, qx = 1221, qy = 824, qz = -11870
Linear Accel X = 228, Y = 268, Z = -145, qw = 11268, qx = 1278, qy = 856, qz = -11794
Linear Accel X = 274, Y = 293, Z = -11, qw = 11320, qx = 1319, qy = 880, qz = -11738
Linear Accel X = 227, Y = 276, Z = 12, qw = 11374, qx = 1348, qy = 863, qz = -11684
Linear Accel X = 364, Y = 257, Z = -97, qw = 11442, qx = 1346, qy = 849, qz = -11618
Linear Accel X = 394, Y = 226, Z = -8, qw = 11533, qx = 1291, qy = 819, qz = -11537
Linear Accel X = 393, Y = 218, Z = 128, qw = 11630, qx = 1206, qy = 778, qz = -11451
Linear Accel X = 308, Y = 234, Z = 22, qw = 11746, qx = 1188, qy = 784, qz = -11333
Linear Accel X = 254, Y = 215, Z = -32, qw = 11818, qx = 1232, qy = 834, qz = -11250
Linear Accel X = 337, Y = 193, Z = 35, qw = 11919, qx = 1204, qy = 868, qz = -11143
Linear Accel X = 420, Y = 246, Z = 210, qw = 12121, qx = 1038, qy = 850, qz = -10941
Linear Accel X = 333, Y = 228, Z = -95, qw = 12202, qx = 994, qy = 862, qz = -10854
Linear Accel X = 259, Y = 54, Z = -27, qw = 12299, qx = 936, qy = 879, qz = -10748
Linear Accel X = 361, Y = 204, Z = 124, qw = 12437, qx = 778, qy = 898, qz = -10599
Linear Accel X = 335, Y = 177, Z = 198, qw = 12627, qx = 526, qy = 864, qz = -10391
Linear Accel X = 344, Y = 40, Z = 2, qw = 12716, qx = 474, qy = 796, qz = -10290
